Destination,Category,Activities,Duration,Budget,Season,Combined_Features,Accommodations
Anuradhapura,Historical,Historical Walks,1 day,60,All Year,Historical Historical Walks 1 day,Not Available
Polonnaruwa,Historical,Sacred Temple Visits,2 days,100,All Year,Historical Sacred Temple Visits 2 days,Not Available
Horton Plains,Adventure,Wildlife Photography,1 day,50,All Year,Adventure Wildlife Photography 1 day,Not Available
Unawatuna  Beach,Coastal,Whale Watching,2 days,120,All Year,Coastal Whale Watching 2 days,Not Available
Trincomalee Beach,Coastal,Coastal Trekking,3 days,160,All Year,Coastal Coastal Trekking 3 days,"Trinco Blu by Cinnamon, Jungle Beach by Uga Escapes, Anantamaa Hotel"
Jaffna,Cultural,Ancient Temples,2 days,90,All Year,Cultural Ancient Temples 2 days,Not Available
Dambulla,Historical,Historical Parks,1 day,60,All Year,Historical Historical Parks 1 day,Not Available
Habarana,Wildlife,Village Safari,2 days,130,All Year,Wildlife Village Safari 2 days,Not Available
Tangalle Beach,Coastal,Whale Watching,3 days,160,All Year,Coastal Whale Watching 3 days,Not Available
Batticaloa Beach,Coastal,Heritage Sites,1 day,60,All Year,Coastal Heritage Sites 1 day,Not Available
Udawalawe,Wildlife,National Park Safari,2 days,140,All Year,Wildlife National Park Safari 2 days,Not Available
Kitulgala,Adventure,Forest Walks,1 day,70,All Year,Adventure Forest Walks 1 day,Not Available
Yala National Park,"Safari, Wildlife Viewing","Safari, Wildlife Viewing",2 days,250,All Year,"Safari, Wildlife Viewing Safari, Wildlife Viewing 2 days",Not Available
Udawalawe National Park,"Safari, Wildlife Viewing","Safari, Wildlife Viewing",2 days,200,All Year,"Safari, Wildlife Viewing Safari, Wildlife Viewing 2 days",Not Available
Wilpattu National Park,"Safari, Wildlife Viewing","Safari, Wildlife Viewing",2-3 days,220,All Year,"Safari, Wildlife Viewing Safari, Wildlife Viewing 2-3 days",Not Available
Minneriya National Park,"Safari, Wildlife Viewing","Safari, Wildlife Viewing",1-2 days,180,All Year,"Safari, Wildlife Viewing Safari, Wildlife Viewing 1-2 days",Not Available
Kaudulla National Park,"Safari, Wildlife Viewing","Safari, Wildlife Viewing",1-2 days,150,All Year,"Safari, Wildlife Viewing Safari, Wildlife Viewing 1-2 days",Not Available
Horton Plains National Park,"Wildlife Viewing, Birdwatching","Hiking, Birdwatching",2-3 days,200,All Year,"Wildlife Viewing, Birdwatching Hiking, Birdwatching 2-3 days",Not Available
Adam's Peak,"Hiking, Spiritual","Hiking, Religious Trek",1 day,50,All Year,"Hiking, Spiritual Hiking, Religious Trek 1 day",Not Available
Horton Plains,"Nature, Hiking","Hiking, Nature Trails",1-2 days,80,All Year,"Nature, Hiking Hiking, Nature Trails 1-2 days",Not Available
Knuckles Mountain Range,"Hiking, Nature","Hiking, Birdwatching",2-3 days,100,All Year,"Hiking, Nature Hiking, Birdwatching 2-3 days",Not Available
Diyaluma Falls,"Hiking, Waterfalls","Hiking, Waterfall Viewing",1 day,40,All Year,"Hiking, Waterfalls Hiking, Waterfall Viewing 1 day",Not Available
Nuwara Eliya,"Nature, Hiking","Hiking, Nature Walks",2-3 days,120,All Year,"Nature, Hiking Hiking, Nature Walks 2-3 days","Heritance Tea Factory, The Grand Hotel, Araliya Green Hills"
Sinharaja Rainforest,"Hiking, Nature","Hiking, Wildlife Viewing",2-3 days,150,All Year,"Hiking, Nature Hiking, Wildlife Viewing 2-3 days",Not Available
Unawatuna,"Beach, Relaxation","Swimming, Snorkeling, Surfing",2-3 days,100,All Year,"Beach, Relaxation Swimming, Snorkeling, Surfing 2-3 days",Not Available
Mirissa Beach,"Beach, Relaxation","Swimming, Whale Watching, Surfing",2-3 days,120,All Year,"Beach, Relaxation Swimming, Whale Watching, Surfing 2-3 days","Mirissa Beach Hotel, Salt Asia Boutique Hotel, Casa Colombo"
Bentota Beach,"Beach, Water Sports","Jet Skiing, Paragliding, Swimming",2-3 days,150,All Year,"Beach, Water Sports Jet Skiing, Paragliding, Swimming 2-3 days","Taj Bentota Resort, Cinnamon Bentota Beach, Avani Bentota"
Nilaveli Beach,"Beach, Nature","Swimming, Snorkeling, Diving",3-4 days,130,All Year,"Beach, Nature Swimming, Snorkeling, Diving 3-4 days",Not Available
Tangalle Beach,"Beach, Relaxation","Swimming, Sunbathing, Surfing",2-3 days,80,All Year,"Beach, Relaxation Swimming, Sunbathing, Surfing 2-3 days",Not Available
Passikudah Beach,"Beach, Nature","Swimming, Snorkeling, Kayaking",3-4 days,140,All Year,"Beach, Nature Swimming, Snorkeling, Kayaking 3-4 days",Not Available
